id,taxonID,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,taxonRemarks,language
https://www.gbif.org/species/2476351,https://www.gbif.org/species/2476351,Ocreatus underwoodii,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Ocreatus,underwoodii,,Especie,"(Lesson, 1832)",,es
https://www.gbif.org/species/7192873,https://www.gbif.org/species/7192873,Ocreatus underwoodii underwoodii,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Ocreatus,underwoodii,underwoodii,Subespecie,,,es
https://www.gbif.org/species/5228053,https://www.gbif.org/species/5228053,Odontophorus atrifrons,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Odontophorus,atrifrons,,Especie,"Allen, 1900",,es
https://www.gbif.org/species/5228058,https://www.gbif.org/species/5228058,Odontophorus gujanensis,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Odontophorus,gujanensis,,Especie,"(Gmelin, 1789)",,es
https://www.gbif.org/species/5228041,https://www.gbif.org/species/5228041,Odontophorus strophium,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Odontophorus,strophium,,Especie,"(Gould, 1844)",Endémica de Colombia,es
https://www.gbif.org/species/5229772,https://www.gbif.org/species/5229772,Oncostoma olivaceum,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Oncostoma,olivaceum,,Especie,"(Lawrence, 1862)",,es
https://www.gbif.org/species/2483680,https://www.gbif.org/species/2483680,Onychorhynchus coronatus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Onychorhynchus,coronatus,,Especie,"(Statius Muller, 1776)",,es
https://www.gbif.org/species/2483382,https://www.gbif.org/species/2483382,Ornithion brunneicapillus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Ornithion,brunneicapillus,,Especie,"(Lawrence, 1862)",,es
https://www.gbif.org/species/7340421,https://www.gbif.org/species/7340421,Orochelidon murina,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Orochelidon,murina,,Especie,,,es
https://www.gbif.org/species/7340422,https://www.gbif.org/species/7340422,Orochelidon murina murina,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Orochelidon,murina,murina,Subespecie,,,es
